product_id,product_name,product_old_image,candidate_rank,candidate_file,score
16,"Lunettes Soleil Aviateur",/Assets/Images/products/product_16_luke_peters_rdxfszxybqu_unsplash.jpg,2,lucrezia-carnelos-6n4Y0oVz1oU-unsplash.jpg,21.63
16,"Lunettes Soleil Aviateur",/Assets/Images/products/product_16_luke_peters_rdxfszxybqu_unsplash.jpg,3,savernake-knives-f4jl2ezowuM-unsplash.jpg,20.06
16,"Lunettes Soleil Aviateur",/Assets/Images/products/product_16_luke_peters_rdxfszxybqu_unsplash.jpg,4,fashion-needles-bFzNGTK4TxM-unsplash.jpg,19.33
16,"Lunettes Soleil Aviateur",/Assets/Images/products/product_16_luke_peters_rdxfszxybqu_unsplash.jpg,5,patrick-martin-UMlT0bviaek-unsplash.jpg,17.67
17,"??charpe Soie Premium",/Assets/Images/products/product_17_karsten_winegeart_7ufby4uhiuk_unsplash.jpg,1,thai-nguyen-ylqeFa_-PvA-unsplash.jpg,23.72
17,"??charpe Soie Premium",/Assets/Images/products/product_17_karsten_winegeart_7ufby4uhiuk_unsplash.jpg,2,karsten-winegeart-7uFbY4uhiUk-unsplash.jpg,22.63
17,"??charpe Soie Premium",/Assets/Images/products/product_17_karsten_winegeart_7ufby4uhiuk_unsplash.jpg,3,rohan-krishnan-d8kp7EPgAmQ-unsplash.jpg,22.35
17,"??charpe Soie Premium",/Assets/Images/products/product_17_karsten_winegeart_7ufby4uhiuk_unsplash.jpg,4,savernake-knives-f4jl2ezowuM-unsplash.jpg,22.01
17,"??charpe Soie Premium",/Assets/Images/products/product_17_karsten_winegeart_7ufby4uhiuk_unsplash.jpg,5,ricardo-resende-JyJi3iNXz6s-unsplash.jpg,21.9
18,"Clean Code - Robert Martin",/Assets/Images/products/product_18_robert_levonyan_xb93bunjtqa_unsplash.jpg,1,robert-levonyan-XB93BUnJtqA-unsplash.jpg,33.89
18,"Clean Code - Robert Martin",/Assets/Images/products/product_18_robert_levonyan_xb93bunjtqa_unsplash.jpg,2,patrick-martin-UMlT0bviaek-unsplash.jpg,29.13
18,"Clean Code - Robert Martin",/Assets/Images/products/product_18_robert_levonyan_xb93bunjtqa_unsplash.jpg,3,nimble-made-GDebkNryTd4-unsplash.jpg,26.43
18,"Clean Code - Robert Martin",/Assets/Images/products/product_18_robert_levonyan_xb93bunjtqa_unsplash.jpg,4,rille-camera-strap-yCuatMlaAoo-unsplash.jpg,25.05
18,"Clean Code - Robert Martin",/Assets/Images/products/product_18_robert_levonyan_xb93bunjtqa_unsplash.jpg,5,ana-catalina-gzz-oWlB-aOBAnY-unsplash.jpg,24.54
